nflId,displayName,position,Team,final_rating
53959.0,Brock Wright,TE,DET,4
54642.0,James Mitchell,TE,DET,2
43305.0,Taylor Decker,T,DET,4
45721.0,Dan Skipper,T,DET,9
48455.0,Matt Nelson,T,DET,3
53436.0,Penei Sewell,T,DET,1
53941.0,Kayode Awosika,T,DET,3
52483.0,Jonah Jackson,G,DET,1
52529.0,Logan Stenberg,G,DET,9
46089.0,Frank Ragnow,C,DET,1
46679.0,Evan Brown,C,DET,9
43496.0,Jeff Driskel,QB,HOU,1
53496.0,Davis Mills,QB,HOU,1
40138.0,Rex Burkhead,RB,HOU,1
45719.0,Dare Ogunbowale,RB,HOU,9
54572.0,Dameon Pierce,RB,HOU,3
55042.0,Troy Hairston,FB,HOU,1
41246.0,Brandin Cooks,WR,HOU,7
42372.0,Phillip Dorsett,WR,HOU,6
42419.0,Chris Conley,WR,HOU,1
43396.0,Chris Moore,WR,HOU,6
48601.0,Tyron Johnson,WR,HOU,3
52569.0,Tyler Johnson,WR,HOU,1
53518.0,Nico Collins,WR,HOU,9
53638.0,Jalen Camp,WR,HOU,1
44831.0,O.J. Howard,TE,HOU,3
45064.0,Mason Schreck,TE,HOU,1
45339.0,Pharaoh Brown,TE,HOU,3
46167.0,Jordan Akins,TE,HOU,9
53576.0,Brevin Jordan,TE,HOU,2
54635.0,Teagan Quitoriano,TE,HOU,1
43302.0,Laremy Tunsil,T,HOU,6
46706.0,KC McDermott,T,HOU,1
47806.0,Tytus Howard,T,HOU,3
52534.0,Charlie Heck,T,HOU,9
42410.0,A.J. Cann,G,HOU,1
54480.0,Kenyon Green,G,HOU,9
41293.0,Justin Britt,C,HOU,3
41630.0,Justin McCray,C,HOU,1
46224.0,Scott Quessenberry,C,HOU,9
53659.0,Jimmy Morrissey,C,HOU,1
41258.0,Teddy Bridgewater,QB,MIA,2
52413.0,Tua Tagovailoa,QB,MIA,9
54712.0,Skylar Thompson,QB,MIA,1
42718.0,Raheem Mostert,RB,MIA,8
46203.0,Chase Edmonds,RB,MIA,5
46377.0,Jeffery Wilson,RB,MIA,9
48017.0,Myles Gaskin,RB,MIA,7
52922.0,Salvon Ahmed,RB,MIA,1
48233.0,Alec Ingold,FB,MIA,1
43454.0,Tyreek Hill,WR,MIA,9
45900.0,River Cracraft,WR,MIA,1
46277.0,Cedrick Wilson,WR,MIA,3
46671.0,Trent Sherfield,WR,MIA,3
53435.0,Jaylen Waddle,WR,MIA,8
54931.0,Tanner Conner,WR,MIA,1
54938.0,Braylon Sanders,WR,MIA,2
45217.0,Cethan Carter,TE,MIA,1
46111.0,Mike Gesicki,TE,MIA,9
46192.0,Durham Smythe,TE,MIA,3
53510.0,Hunter Long,TE,MIA,1
40023.0,Terron Armstead,T,MIA,9
43447.0,Brandon Shell,T,MIA,1
47820.0,Greg Little,T,MIA,3
52426.0,Austin Jackson,T,MIA,1
53660.0,Larnel Coleman,T,MIA,1
52447.0,Robert Hunt,G,MIA,1
53471.0,Liam Eichenberg,G,MIA,9
53861.0,Robert Jones,G,MIA,3
46119.0,Connor Williams,C,MIA,1
33099.0,Joe Flacco,QB,NYJ,1
53431.0,Zach Wilson,QB,NYJ,9
47969.0,Ty Johnson,RB,NYJ,1
52733.0,James Robinson,RB,NYJ,3
53536.0,Michael Carter,RB,NYJ,5
54501.0,Breece Hall,RB,NYJ,9
44817.0,Corey Davis,WR,NYJ,2
46279.0,Braxton Berrios,WR,NYJ,1
48657.0,Jeff Smith,WR,NYJ,1
52467.0,Denzel Mims,WR,NYJ,3
53463.0,Elijah Moore,WR,NYJ,1
54475.0,Garrett Wilson,WR,NYJ,9
42500.0,C.J. Uzomah,TE,NYJ,5
46226.0,Tyler Conklin,TE,NYJ,9
53047.0,Lawrence Cager,TE,NYJ,1
53715.0,Kenny Yeboah,TE,NYJ,1
54566.0,Jeremy Ruckert,TE,NYJ,1
33107.0,Duane Brown,T,NYJ,5
42364.0,Cedric Ogbuehi,T,NYJ,7
43586.0,George Fant,T,NYJ,3
45024.0,Conor McDermott,T,NYJ,9
54576.0,Max Mitchell,T,NYJ,1
42371.0,Laken Tomlinson,G,NYJ,3
48513.0,Nate Herbig,G,NYJ,9
53443.0,Alijah Vera-Tucker,G,NYJ,1
43433.0,Connor McGovern,C,NYJ,1
42831.0,Taylor Heinicke,QB,WAS,1
43291.0,Carson Wentz,QB,WAS,9
43445.0,Jonathan Williams,RB,WAS,9
43722.0,J.D. McKissic,RB,WAS,5
45005.0,Alex Armah,RB,WAS,1
52474.0,Antonio Gibson,RB,WAS,7
54563.0,Brian Robinson,RB,WAS,4
44852.0,Curtis Samuel,WR,WAS,6
46362.0,Cam Sims,WR,WAS,1
47859.0,Terry McLaurin,WR,WAS,6
53511.0,Dyami Brown,WR,WAS,9
53687.0,Dax Milne,WR,WAS,3
54481.0,Jahan Dotson,WR,WAS,2
41349.0,Logan Thomas,TE,WAS,3
53553.0,John Bates,TE,WAS,4
54614.0,Cole Turner,TE,WAS,1
54846.0,Armani Rogers,TE,WAS,9
41475.0,Charles Leno,T,WAS,9
41563.0,Cornelius Lucas,T,WAS,1
41321.0,Trai Turner,G,WAS,4
41939.0,Andrew Norwell,G,WAS,9
43484.0,Wes Schweitzer,G,WAS,3
47914.0,Wes Martin,G,WAS,1
52516.0,Saahdiq Charles,G,WAS,6
53480.0,Samuel Cosmi,G,WAS,3
41707.0,Tyler Larsen,C,WAS,1
43339.0,Nick Martin,C,WAS,9
45012.0,Chase Roullier,C,WAS,2
47784.0,Kyler Murray,QB,ARI,9
47980.0,Trace McSorley,QB,ARI,1
44917.0,James Conner,RB,ARI,6
46526.0,Darrel Williams,RB,ARI,1
52630.0,Eno Benjamin,RB,ARI,9
54666.0,Keaontay Ingram,RB,ARI,9
37077.0,A.J. Green,WR,ARI,2
39973.0,DeAndre Hopkins,WR,ARI,8
46293.0,Javon Wims,WR,ARI,1
47808.0,Marquise Brown,WR,ARI,9
47845.0,Andy Isabella,WR,ARI,2
48646.0,Greg Dortch,WR,ARI,9
52778.0,Andre Baccellia,WR,ARI,2
53478.0,Rondale Moore,WR,ARI,8
39983.0,Zach Ertz,TE,ARI,9
42398.0,Maxx Williams,TE,ARI,1
43845.0,Stephen Anderson,TE,ARI,1
